City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
300,Luganville,VU,78.66,moderate rain,-15.5333,167.1667,The Espiritu Hotel
301,Kalabo,ZM,70.38,light rain,-14.97,22.6814,Sikakubete Guest House Kalabo Town Council
302,Sao Joao Batista,BR,82.96,scattered clouds,-27.2761,-48.8494,INNOVARE SLIM SÃO JOÃO BATISTA
306,Kidal,ML,77.76,clear sky,18.4411,1.4078,
310,Tambura,SS,81.93,scattered clouds,5.6,27.4667,Rikito Lodge
314,Eydhafushi,MV,81.27,scattered clouds,5.1033,73.0708,Soneva Fushi
316,Quthing,LS,70.48,broken clouds,-30.4,27.7003,Mountainside Hotel
317,Hithadhoo,MV,82.83,scattered clouds,-0.6,73.0833,Scoop Guest House
318,Nhulunbuy,AU,81.21,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
319,Chake Chake,TZ,79.54,overcast clouds,-5.2459,39.7666,Hotel Archipelago
321,Kudahuvadhoo,MV,81.97,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
326,Souillac,MU,77.38,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
329,Viljoenskroon,ZA,71.33,broken clouds,-27.2084,26.9485,DIE LAPA
332,Pisco,PE,74.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
336,Castro,BR,73.26,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
338,Kaabong,UG,73.13,broken clouds,3.4836,34.1492,Rock Motel Ltd
339,Denpasar,ID,76.71,broken clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
342,Manuk Mangkaw,PH,80.87,overcast clouds,4.8,119.85,
346,Puri,IN,70.32,clear sky,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
348,Alyangula,AU,81.93,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
349,Moerai,PF,79.2,light rain,-22.4333,-151.3333,Le Manotel
351,Palu,ID,75.6,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
352,Sabang,ID,79.65,overcast clouds,5.8933,95.3214,Hotel Citra
355,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
358,Gondanglegi,ID,74.23,moderate rain,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
360,Wad Madani,SD,82.13,broken clouds,14.4012,33.5199,فندق يوغسلافيا
